company_name,from_location,to_location,vessel,departure_time,day_of_departure,arrival_time,day_of_arrival,accomodation,passenger_type,fare
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,7:45,"1, 2, 3, 4, 5, 6, 7",9:00,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,7:45,"1, 2, 3, 4, 5, 6, 7",9:00,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,11:15,"1, 2, 3, 4, 5, 6, 7",12:30,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,11:15,"1, 2, 3, 4, 5, 6, 7",12:30,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,11:15,"1, 2, 3, 4, 5, 6, 7",12:30,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,14:55,"1, 2, 3, 4, 5, 6, 7",16:10,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,14:55,"1, 2, 3, 4, 5, 6, 7",16:10,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,14:55,"1, 2, 3, 4, 5, 6, 7",16:10,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,18:15,"1, 2, 3, 4, 5, 6, 7",19:30,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,18:15,"1, 2, 3, 4, 5, 6, 7",19:30,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,Cebu,"Tubigon, Bohol",MV Sea Jet,18:15,"1, 2, 3, 4, 5, 6, 7",19:30,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,6:00,"1, 2, 3, 4, 5, 6, 7",7:15,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,6:00,"1, 2, 3, 4, 5, 6, 7",7:15,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,6:00,"1, 2, 3, 4, 5, 6, 7",7:15,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,13:00,"1, 2, 3, 4, 5, 6, 7",14:15,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,13:00,"1, 2, 3, 4, 5, 6, 7",14:15,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,13:00,"1, 2, 3, 4, 5, 6, 7",14:15,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,16:30,"1, 2, 3, 4, 5, 6, 7",17:45,"1, 2, 3, 4, 5, 6, 7",Class A,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,16:30,"1, 2, 3, 4, 5, 6, 7",17:45,"1, 2, 3, 4, 5, 6, 7",Class B,,
Aleson,"Tubigon, Bohol",Cebu,MV Sea Jet,16:30,"1, 2, 3, 4, 5, 6, 7",17:45,"1, 2, 3, 4, 5, 6, 7",Class C,,
Aleson,Dumaguete,"Pulauan, Dapitan",MV Danica Joy,4:00,"1, 2, 3, 4, 5, 6, 7",8:00,"1, 2, 3, 4, 5, 6, 7",Class A,,409.18
Aleson,Dumaguete,"Pulauan, Dapitan",MV Danica Joy,4:00,"1, 2, 3, 4, 5, 6, 7",8:00,"1, 2, 3, 4, 5, 6, 7",Class B,,327.44
Aleson,Dumaguete,"Pulauan, Dapitan",MV Danica Joy,4:00,"1, 2, 3, 4, 5, 6, 7",8:00,"1, 2, 3, 4, 5, 6, 7",Class C,,266.12
Aleson,Dumaguete,"Pulauan, Dapitan",MV Trisha Kerstin-3,15:30,"1, 2, 3, 4, 5, 6, 7",19:30,"1, 2, 3, 4, 5, 6, 7",Class A,,409.18
Aleson,Dumaguete,"Pulauan, Dapitan",MV Trisha Kerstin-3,15:30,"1, 2, 3, 4, 5, 6, 7",19:30,"1, 2, 3, 4, 5, 6, 7",Class B,,327.44
Aleson,Dumaguete,"Pulauan, Dapitan",MV Trisha Kerstin-3,15:30,"1, 2, 3, 4, 5, 6, 7",19:30,"1, 2, 3, 4, 5, 6, 7",Class C,,266.12
Aleson,"Pulauan, Dapitan",Dumaguete,MV Danica Joy,10:30,"1, 2, 3, 4, 5, 6, 7",2:30,"1, 2, 3, 4, 5, 6, 7",Class A,,409.18
Aleson,"Pulauan, Dapitan",Dumaguete,MV Danica Joy,10:30,"1, 2, 3, 4, 5, 6, 7",2:30,"1, 2, 3, 4, 5, 6, 7",Class B,,327.44
Aleson,"Pulauan, Dapitan",Dumaguete,MV Danica Joy,10:30,"1, 2, 3, 4, 5, 6, 7",2:30,"1, 2, 3, 4, 5, 6, 7",Class C,,266.12
Aleson,"Pulauan, Dapitan",Dumaguete,MV Trisha Kerstin-3,3:30,"1, 2, 3, 4, 5, 6, 7",7:30,"1, 2, 3, 4, 5, 6, 7",Class A,,409.18
Aleson,"Pulauan, Dapitan",Dumaguete,MV Trisha Kerstin-3,3:30,"1, 2, 3, 4, 5, 6, 7",7:30,"1, 2, 3, 4, 5, 6, 7",Class B,,327.44
Aleson,"Pulauan, Dapitan",Dumaguete,MV Trisha Kerstin-3,3:30,"1, 2, 3, 4, 5, 6, 7",7:30,"1, 2, 3, 4, 5, 6, 7",Class C,,266.12
Aleson,Isabela,Zamboanga,MV Anika Gayle,9:00,"1, 2, 3, 4, 5, 6, 7",10:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Isabela,Zamboanga,MV Anika Gayle,9:00,"1, 2, 3, 4, 5, 6, 7",10:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Isabela,Zamboanga,MV Anika Gayle,9:00,"1, 2, 3, 4, 5, 6, 7",10:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Isabela,Zamboanga,MV Anika Gayle,15:15,"1, 2, 3, 4, 5, 6, 7",16:15,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Isabela,Zamboanga,MV Anika Gayle,15:15,"1, 2, 3, 4, 5, 6, 7",16:15,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Isabela,Zamboanga,MV Anika Gayle,15:15,"1, 2, 3, 4, 5, 6, 7",16:15,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Isabela,Zamboanga,MV Stephanie Marie,9:45,"1, 2, 3, 4, 5, 6, 7",11:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Isabela,Zamboanga,MV Stephanie Marie,9:45,"1, 2, 3, 4, 5, 6, 7",11:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Isabela,Zamboanga,MV Stephanie Marie,9:45,"1, 2, 3, 4, 5, 6, 7",11:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Isabela,Zamboanga,MV Stephanie Marie,15:30,"1, 2, 3, 4, 5, 6, 7",17:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Isabela,Zamboanga,MV Stephanie Marie,15:30,"1, 2, 3, 4, 5, 6, 7",17:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Isabela,Zamboanga,MV Stephanie Marie,15:30,"1, 2, 3, 4, 5, 6, 7",17:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Isabela,Zamboanga,MV Estrella Del Mar,9:30,"1, 2, 3, 4, 5, 6, 7",11:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Isabela,Zamboanga,MV Estrella Del Mar,9:30,"1, 2, 3, 4, 5, 6, 7",11:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Isabela,Zamboanga,MV Estrella Del Mar,9:30,"1, 2, 3, 4, 5, 6, 7",11:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Isabela,Zamboanga,MV Estrella Del Mar,15:30,"1, 2, 3, 4, 5, 6, 7",17:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Isabela,Zamboanga,MV Estrella Del Mar,15:30,"1, 2, 3, 4, 5, 6, 7",17:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Isabela,Zamboanga,MV Estrella Del Mar,15:30,"1, 2, 3, 4, 5, 6, 7",17:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Isabela,MV Anika Gayle,6:30,"1, 2, 3, 4, 5, 6, 7",7:30,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Isabela,MV Anika Gayle,6:30,"1, 2, 3, 4, 5, 6, 7",7:30,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Isabela,MV Anika Gayle,6:30,"1, 2, 3, 4, 5, 6, 7",7:30,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Isabela,MV Anika Gayle,12:00,"1, 2, 3, 4, 5, 6, 7",13:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Isabela,MV Anika Gayle,12:00,"1, 2, 3, 4, 5, 6, 7",13:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Isabela,MV Anika Gayle,12:00,"1, 2, 3, 4, 5, 6, 7",13:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Isabela,MV Stephanie Marie,6:45,"1, 2, 3, 4, 5, 6, 7",8:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Isabela,MV Stephanie Marie,6:45,"1, 2, 3, 4, 5, 6, 7",8:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Isabela,MV Stephanie Marie,6:45,"1, 2, 3, 4, 5, 6, 7",8:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Isabela,MV Stephanie Marie,12:45,"1, 2, 3, 4, 5, 6, 7",14:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Isabela,MV Stephanie Marie,12:45,"1, 2, 3, 4, 5, 6, 7",14:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Isabela,MV Stephanie Marie,12:45,"1, 2, 3, 4, 5, 6, 7",14:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Isabela,MV Estrella Del Mar,6:45,"1, 2, 3, 4, 5, 6, 7",8:15,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Isabela,MV Estrella Del Mar,6:45,"1, 2, 3, 4, 5, 6, 7",8:15,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Isabela,MV Estrella Del Mar,6:45,"1, 2, 3, 4, 5, 6, 7",8:15,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Isabela,MV Estrella Del Mar,12:30,"1, 2, 3, 4, 5, 6, 7",14:00,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Isabela,MV Estrella Del Mar,12:30,"1, 2, 3, 4, 5, 6, 7",14:00,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Isabela,MV Estrella Del Mar,12:30,"1, 2, 3, 4, 5, 6, 7",14:00,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,2,3:00,3,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,2,3:00,3,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,2,3:00,3,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,4,3:00,5,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,4,3:00,5,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,4,3:00,5,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,6,3:00,7,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,6,3:00,7,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,20:00,6,3:00,7,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,9:00,1,16:00,1,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,9:00,1,16:00,1,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Lady Mary Joy 3,9:00,1,16:00,1,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,1,3:30,2,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,1,3:30,2,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,1,3:30,2,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,3,3:00,4,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,3,3:00,4,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,3,3:00,4,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,5,3:30,6,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,5,3:30,6,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,20:00,5,3:30,6,Class C,,205.04
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,9:00,7,16:30,7,Class A,,315.15
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,9:00,7,16:30,7,Class B,,252.18
Aleson,Jolo,Zamboanga,MV Kristel Jane-3,9:00,7,16:30,7,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,1,4:00,2,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,1,4:00,2,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,1,4:00,2,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,3,4:00,4,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,3,4:00,4,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,3,4:00,4,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,5,4:00,6,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,5,4:00,6,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,5,4:00,6,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,7,4:00,1,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,7,4:00,1,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Lady Mary Joy 3,20:00,7,4:00,1,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,7,3:30,1,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,7,3:30,1,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,7,3:30,1,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,2,3:30,3,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,2,3:30,3,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,2,3:30,3,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,4,3:30,5,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,4,3:30,5,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,4,3:30,5,Class C,,205.04
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,6,4:00,7,Class A,,315.15
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,6,4:00,7,Class B,,252.18
Aleson,Zamboanga,Jolo,MV Kristel Jane-3,20:00,6,4:00,7,Class C,,205.04
Aleson,Lamitan,Zamboanga,MV Ciara Joie,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Lamitan,Zamboanga,MV Ciara Joie,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Lamitan,Zamboanga,MV Ciara Joie,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Lamitan,Zamboanga,MV Ciara Joie,15:30,"1, 2, 3, 4, 5, 6, 7",16:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Lamitan,Zamboanga,MV Ciara Joie,15:30,"1, 2, 3, 4, 5, 6, 7",16:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Lamitan,Zamboanga,MV Ciara Joie,15:30,"1, 2, 3, 4, 5, 6, 7",16:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Lamitan,Zamboanga,MV Trisha Kerstin,7:00,"1, 2, 3, 4, 5, 6, 7",8:15,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Lamitan,Zamboanga,MV Trisha Kerstin,7:00,"1, 2, 3, 4, 5, 6, 7",8:15,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Lamitan,Zamboanga,MV Trisha Kerstin,7:00,"1, 2, 3, 4, 5, 6, 7",8:15,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Lamitan,Zamboanga,MV Trisha Kerstin,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Lamitan,Zamboanga,MV Trisha Kerstin,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Lamitan,Zamboanga,MV Trisha Kerstin,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Lamitan,Zamboanga,MV Ciara Joie-1,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Lamitan,Zamboanga,MV Ciara Joie-1,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Lamitan,Zamboanga,MV Ciara Joie-1,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Lamitan,MV Ciara Joie,6:45,"1, 2, 3, 4, 5, 6, 7",8:05,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Lamitan,MV Ciara Joie,6:45,"1, 2, 3, 4, 5, 6, 7",8:05,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Lamitan,MV Ciara Joie,6:45,"1, 2, 3, 4, 5, 6, 7",8:05,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Lamitan,MV Ciara Joie,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Lamitan,MV Ciara Joie,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Lamitan,MV Ciara Joie,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Lamitan,MV Trisha Kerstin,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Lamitan,MV Trisha Kerstin,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Lamitan,MV Trisha Kerstin,9:30,"1, 2, 3, 4, 5, 6, 7",10:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Lamitan,MV Trisha Kerstin,15:00,"1, 2, 3, 4, 5, 6, 7",16:15,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Lamitan,MV Trisha Kerstin,15:00,"1, 2, 3, 4, 5, 6, 7",16:15,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Lamitan,MV Trisha Kerstin,15:00,"1, 2, 3, 4, 5, 6, 7",16:15,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Lamitan,MV Ciara Joie-1,6:45,"1, 2, 3, 4, 5, 6, 7",8:05,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Lamitan,MV Ciara Joie-1,6:45,"1, 2, 3, 4, 5, 6, 7",8:05,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Lamitan,MV Ciara Joie-1,6:45,"1, 2, 3, 4, 5, 6, 7",8:05,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
Aleson,Zamboanga,Lamitan,MV Ciara Joie-2,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class A,,209.89
Aleson,Zamboanga,Lamitan,MV Ciara Joie-2,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class B,,145.76
Aleson,Zamboanga,Lamitan,MV Ciara Joie-2,12:30,"1, 2, 3, 4, 5, 6, 7",13:45,"1, 2, 3, 4, 5, 6, 7",Class C,,93.28
2GO,Bacolod,Manila,,8:00,1,3:30,2,,,
2GO,Bacolod,Manila,,2:00,4,22:00,4,,,
2GO,Bacolod,Manila,,14:30,6,12:30,7,,,
2GO,Bacolod,Cagayan de Oro,,14:30,3,10:30,4,,,
2GO,Batangas,Caticlan,,21:00,1,8:00,2,,,
2GO,Batangas,Caticlan,,21:00,"3, 5",11:00,"4, 6",,,
2GO,Batangas,Caticlan,,9:00,7,20:00,7,,,
2GO,Batangas,Odiongan,,21:00,"3, 5",7:00,"4, 6",,,
2GO,Batangas,Roxas,,21:00,1,14:30,2,,,
2GO,Batangas,Bacolod,,9:30,5,10:30,6,,,
2GO,Batangas,Iloilo,,9:30,5,2:30,6,,,
2GO,Batangas,Butuan,,19:00,5,7:00,7,,,
2GO,Batangas,Cebu,,19:00,2,13:00,3,,,
2GO,Batangas,Cagayan de Oro,,19:00,5,20:00,6,,,
2GO,Batangas,Tagbilaran,,19:00,2,20:30,3,,,
2GO,Butuan,Manila,,19:00,3,1:00,5,,,
2GO,Butuan,Manila,,11:00,7,13:00,1,,,
2GO,Cagayan de Oro,Manila,,1:00,2,10:00,3,,,
2GO,Cagayan de Oro,Manila,,8:00,3,22:00,4,,,
2GO,Cagayan de Oro,Manila,,19:30,4,10:00,6,,,
2GO,Cagayan de Oro,Manila,,13:00,5,22:00,6,,,
2GO,Cagayan de Oro,Manila,,2:00,7,13:00,1,,,
2GO,Cagayan de Oro,Cebu,,13:00,5,21:00,5,,,
2GO,Cagayan de Oro,Cebu,,1:00,2,9:00,2,,,
2GO,Cagayan de Oro,Butuan,,2:00,7,7:00,7,,,
2GO,Cagayan de Oro,Iloilo,,19:30,4,8:30,5,,,
2GO,Cagayan de Oro,Bacolod,,8:00,3,22:00,3,,,
2GO,Caticlan,Batangas,,14:00,"4, 6",4:00,"5, 7",,,
2GO,Caticlan,Batangas,,23:30,"2, 7",10:30,"3, 1",,,
2GO,Caticlan,Odiongan,,14:00,"4, 6",17:00,"4, 6",,,
2GO,Caticlan,Roxas,,9:30,2,14:30,2,,,
2GO,Cebu,Manila,,11:59,2,10:00,3,,,
2GO,Cebu,Manila,,17:00,2,13:00,5,,,
2GO,Cebu,Manila,,17:00,3,9:00,5,,,
2GO,Cebu,Manila,,9:00,5,7:00,6,,,
2GO,Cebu,Manila,,23:59,5,22:00,6,,,
2GO,Cebu,Butuan,,17:00,2,15:00,3,,,
